_id,task_id,user_id,task_name,submitted_at,docker_image,command,req_cpu,req_memory,req_storage,req_gpu,sla_multiplier,status,created_at,k_value,tag,updated_at,started_at,completed_at
691b3c82d66e62100c9cb166,task-1763392642447533354,batch-test-user,,0,moinvinchhi/cloudai-cpu-intensive:1,,4,4,5,0,0,completed,2025-11-17T15:17:22.447Z,2.5,cpu-heavy,2025-11-17T15:17:22.448Z,2025-11-17T15:17:43.061Z,2025-11-17T15:18:39.421Z
691b3c87d66e62100c9cb167,task-1763392647474158347,batch-test-user,,0,moinvinchhi/cloudai-cpu-intensive:2,,4,4,5,0,0,completed,2025-11-17T15:17:27.474Z,2.5,cpu-heavy,2025-11-17T15:17:43.064Z,2025-11-17T15:17:43.199Z,2025-11-17T15:18:21.262Z
691b3c9cd66e62100c9cb16a,task-1763392668095740561,batch-test-user,,0,moinvinchhi/cloudai-cpu-intensive:3,,4,4,5,0,0,completed,2025-11-17T15:17:48.095Z,2.5,cpu-heavy,2025-11-17T15:17:48.096Z,2025-11-17T15:17:51.129Z,2025-11-17T15:24:24.859Z
691b3ca1d66e62100c9cb16c,task-1763392673126653014,batch-test-user,,0,moinvinchhi/cloudai-cpu-intensive:4,,4,4,5,0,0,completed,2025-11-17T15:17:53.126Z,2.5,cpu-heavy,2025-11-17T15:17:53.127Z,2025-11-17T15:17:55.800Z,2025-11-17T15:23:00.026Z
691b3ca6d66e62100c9cb16e,task-1763392678151373829,batch-test-user,,0,moinvinchhi/cloudai-cpu-intensive:5,,4,4,5,0,0,completed,2025-11-17T15:17:58.151Z,2.5,cpu-heavy,2025-11-17T15:17:58.152Z,2025-11-17T15:18:00.881Z,2025-11-17T15:21:20.949Z
691b3cabd66e62100c9cb170,task-1763392683178495609,batch-test-user,,0,moinvinchhi/cloudai-cpu-light:1,,1,2,5,0,0,completed,2025-11-17T15:18:03.178Z,1.5,cpu-light,2025-11-17T15:18:03.179Z,2025-11-17T15:18:05.936Z,2025-11-17T15:18:10.801Z
691b3cb0d66e62100c9cb172,task-1763392688207884921,batch-test-user,,0,moinvinchhi/cloudai-cpu-light:2,,1,2,5,0,0,completed,2025-11-17T15:18:08.207Z,1.5,cpu-light,2025-11-17T15:18:08.208Z,2025-11-17T15:18:12.224Z,2025-11-17T15:18:21.121Z
691b3cb5d66e62100c9cb175,task-1763392693236222521,batch-test-user,,0,moinvinchhi/cloudai-cpu-light:3,,1,2,5,0,0,completed,2025-11-17T15:18:13.236Z,1.5,cpu-light,2025-11-17T15:18:13.237Z,2025-11-17T15:18:16.448Z,2025-11-17T15:18:23.581Z
691b3cbad66e62100c9cb177,task-1763392698266465608,batch-test-user,,0,moinvinchhi/cloudai-cpu-light:4,,1,2,5,0,0,completed,2025-11-17T15:18:18.266Z,1.5,cpu-light,2025-11-17T15:18:18.267Z,2025-11-17T15:18:21.166Z,2025-11-17T15:18:28.976Z
691b3cbfd66e62100c9cb17c,task-1763392703295179055,batch-test-user,,0,moinvinchhi/cloudai-cpu-light:5,,1,2,5,0,0,completed,2025-11-17T15:18:23.295Z,1.5,cpu-light,2025-11-17T15:18:23.296Z,2025-11-17T15:18:26.652Z,2025-11-17T15:18:34.299Z
