scenario,scheduler,scheduler_algorithm,workload,task_id,task_status,current_attempt_id,current_attempt_no,recovery_count,last_failure_reason,attempt_id,attempt_no,attempt_status,attempt_worker_id,attempt_failure_reason,assigned_at,last_heartbeat,completed_at
baseline,RTS,RTS,heterogeneous-smoke,task-1777277334424130000,completed,att-task-1777277334424130000-1,1,0,,att-task-1777277334424130000-1,1,completed,worker-medium,,1777277338,1777277402,1777277402
baseline,RTS,RTS,heterogeneous-smoke,task-1777277334428806000,completed,att-task-1777277334428806000-1,1,0,,att-task-1777277334428806000-1,1,completed,worker-medium,,1777277338,1777277347,1777277349
baseline,RTS,RTS,heterogeneous-smoke,task-1777277334432916000,completed,att-task-1777277334432916000-1,1,0,,att-task-1777277334432916000-1,1,completed,worker-large,,1777277338,1777277342,1777277342
baseline,RTS,RTS,heterogeneous-smoke,task-1777277334437393000,completed,att-task-1777277334437393000-1,1,0,,att-task-1777277334437393000-1,1,completed,worker-large,,1777277338,1777277342,1777277344
baseline,RTS,RTS,heterogeneous-smoke,task-1777277334442644000,completed,att-task-1777277334442644000-1,1,0,,att-task-1777277334442644000-1,1,completed,worker-large,,1777277338,1777277342,1777277342
baseline,RTS,RTS,heterogeneous-smoke,task-1777277334446882000,completed,att-task-1777277334446882000-1,1,0,,att-task-1777277334446882000-1,1,completed,worker-large,,1777277343,1777277347,1777277347
baseline,RTS,RTS,heterogeneous-smoke,task-1777277334449338000,completed,att-task-1777277334449338000-1,1,0,,att-task-1777277334449338000-1,1,completed,worker-small,,1777277338,1777277342,1777277342
baseline,RTS,RTS,heterogeneous-smoke,task-1777277334451566000,completed,att-task-1777277334451566000-1,1,0,,att-task-1777277334451566000-1,1,completed,worker-large,,1777277348,0,1777277351
baseline,RTS,RTS,heterogeneous-smoke,task-1777277334453683000,completed,att-task-1777277334453683000-1,1,0,,att-task-1777277334453683000-1,1,completed,worker-large,,1777277338,1777277342,1777277342
baseline,RTS,RTS,heterogeneous-smoke,task-1777277334456118000,completed,att-task-1777277334456118000-1,1,0,,att-task-1777277334456118000-1,1,completed,worker-large,,1777277353,1777277357,1777277357
baseline,PPO,PPO,heterogeneous-smoke,task-1777277406902250000,completed,att-task-1777277406902250000-1,1,0,,att-task-1777277406902250000-1,1,completed,worker-large,,1777277408,1777277412,1777277412
baseline,PPO,PPO,heterogeneous-smoke,task-1777277406907283000,completed,att-task-1777277406907283000-1,1,0,,att-task-1777277406907283000-1,1,completed,worker-large,,1777277408,1777277412,1777277412
baseline,PPO,PPO,heterogeneous-smoke,task-1777277406911038000,completed,att-task-1777277406911038000-1,1,0,,att-task-1777277406911038000-1,1,completed,worker-large,,1777277408,1777277412,1777277412
baseline,PPO,PPO,heterogeneous-smoke,task-1777277406913816000,completed,att-task-1777277406913816000-1,1,0,,att-task-1777277406913816000-1,1,completed,worker-medium,,1777277408,1777277412,1777277412
baseline,PPO,PPO,heterogeneous-smoke,task-1777277406916243000,completed,att-task-1777277406916243000-1,1,0,,att-task-1777277406916243000-1,1,completed,worker-large,,1777277408,1777277412,1777277412
baseline,PPO,PPO,heterogeneous-smoke,task-1777277406918850000,completed,att-task-1777277406918850000-1,1,0,,att-task-1777277406918850000-1,1,completed,worker-large,,1777277413,0,1777277417
baseline,PPO,PPO,heterogeneous-smoke,task-1777277406922097000,completed,att-task-1777277406922097000-1,1,0,,att-task-1777277406922097000-1,1,completed,worker-medium,,1777277408,1777277412,1777277412
baseline,PPO,PPO,heterogeneous-smoke,task-1777277406924865000,completed,att-task-1777277406924865000-1,1,0,,att-task-1777277406924865000-1,1,completed,worker-medium,,1777277413,0,1777277417
baseline,PPO,PPO,heterogeneous-smoke,task-1777277406927186000,completed,att-task-1777277406927186000-1,1,0,,att-task-1777277406927186000-1,1,completed,worker-small,,1777277408,1777277412,1777277412
baseline,PPO,PPO,heterogeneous-smoke,task-1777277406929629000,completed,att-task-1777277406929629000-1,1,0,,att-task-1777277406929629000-1,1,completed,worker-large,,1777277418,0,1777277422
burst,RTS,RTS,heterogeneous-smoke,task-1777277431168073000,completed,att-task-1777277431168073000-1,1,0,,att-task-1777277431168073000-1,1,completed,worker-large,,1777277433,0,1777277437
burst,RTS,RTS,heterogeneous-smoke,task-1777277431171599000,completed,att-task-1777277431171599000-1,1,0,,att-task-1777277431171599000-1,1,completed,worker-large,,1777277433,1777277437,1777277437
burst,RTS,RTS,heterogeneous-smoke,task-1777277431175418000,completed,att-task-1777277431175418000-1,1,0,,att-task-1777277431175418000-1,1,completed,worker-large,,1777277433,0,1777277437
burst,RTS,RTS,heterogeneous-smoke,task-1777277431178581000,completed,att-task-1777277431178581000-1,1,0,,att-task-1777277431178581000-1,1,completed,worker-medium,,1777277433,1777277457,1777277459
