metric,labels,value
max_queue_depth,"{""instance"": ""host.docker.internal:8080"", ""job"": ""master""}",9
task_dequeues,"{""outcome"": ""assigned""}",149.47619047619045
task_terminals,"{""status"": ""completed"", ""task_type"": ""cpu-heavy""}",45.07317073170732
task_terminals,"{""status"": ""completed"", ""task_type"": ""cpu-light""}",29.70731707317073
task_terminals,"{""status"": ""completed"", ""task_type"": ""mixed""}",45.07317073170732
task_terminals,"{""status"": ""failed"", ""task_type"": ""memory-heavy""}",29.69047619047619
worker_container_cpu_seconds,"{""task_type"": ""other""}",0
worker_container_io_bytes,"{""task_type"": ""other""}",0
worker_container_memory_peak_p95,"{""task_type"": ""other""}",15938355.2
p95_scheduling_latency,"{""scheduler"": ""RTS""}",0.021863636363636363
p95_scheduling_latency,"{""scheduler"": ""PPO""}",0.02404210526315789
p95_scheduling_latency,"{""scheduler"": ""Round-Robin""}",0.022535714285714284
p95_queue_wait,"{""scheduler"": ""RTS"", ""task_type"": ""memory-heavy""}",9.25
p95_queue_wait,"{""scheduler"": ""PPO"", ""task_type"": ""cpu-heavy""}",9.416666666666666
p95_queue_wait,"{""scheduler"": ""PPO"", ""task_type"": ""cpu-light""}",4.624999999999999
p95_queue_wait,"{""scheduler"": ""PPO"", ""task_type"": ""mixed""}",8.249999999999998
p95_queue_wait,"{""scheduler"": ""Round-Robin"", ""task_type"": ""cpu-heavy""}",9.5625
p95_queue_wait,"{""scheduler"": ""Round-Robin"", ""task_type"": ""mixed""}",9.125
p95_queue_wait,"{""scheduler"": ""RTS"", ""task_type"": ""mixed""}",8.833333333333332
p95_queue_wait,"{""scheduler"": ""PPO"", ""task_type"": ""memory-heavy""}",7.749999999999998
p95_queue_wait,"{""scheduler"": ""Round-Robin"", ""task_type"": ""cpu-light""}",4.71875
p95_queue_wait,"{""scheduler"": ""Round-Robin"", ""task_type"": ""memory-heavy""}",8.874999999999998
p95_queue_wait,"{""scheduler"": ""RTS"", ""task_type"": ""cpu-heavy""}",9.416666666666666
p95_queue_wait,"{""scheduler"": ""RTS"", ""task_type"": ""cpu-light""}",4.71875
