scenario,scheduler,scheduler_algorithm,workload,task_id,task_status,current_attempt_id,current_attempt_no,recovery_count,last_failure_reason,attempt_id,attempt_no,attempt_status,attempt_worker_id,attempt_failure_reason,assigned_at,last_heartbeat,completed_at
baseline,RR,RR,bursty,task-1777309155272129000,completed,att-task-1777309155272129000-1,1,0,,att-task-1777309155272129000-1,1,completed,worker-large,,1777309157,1777309157,1777309160
baseline,RR,RR,bursty,task-1777309155276056000,completed,att-task-1777309155276056000-1,1,0,,att-task-1777309155276056000-1,1,completed,worker-medium,,1777309157,1777309157,1777309160
baseline,RR,RR,bursty,task-1777309155279716000,failed,att-task-1777309155279716000-1,1,0,,att-task-1777309155279716000-1,1,failed,worker-small,container_failed,1777309157,1777309157,1777309160
baseline,RR,RR,bursty,task-1777309155282053000,completed,att-task-1777309155282053000-1,1,0,,att-task-1777309155282053000-1,1,completed,worker-large,,1777309157,1777309157,1777309161
baseline,RR,RR,bursty,task-1777309159291913000,completed,att-task-1777309159291913000-1,1,0,,att-task-1777309159291913000-1,1,completed,worker-medium,,1777309162,1777309162,1777309165
baseline,RR,RR,bursty,task-1777309159297885000,completed,att-task-1777309159297885000-1,1,0,,att-task-1777309159297885000-1,1,completed,worker-large,,1777309162,1777309162,1777309166
baseline,RR,RR,bursty,task-1777309159302449000,completed,att-task-1777309159302449000-1,1,0,,att-task-1777309159302449000-1,1,completed,worker-medium,,1777309162,1777309162,1777309165
baseline,RR,RR,bursty,task-1777309163311932000,failed,att-task-1777309163311932000-1,1,0,,att-task-1777309163311932000-1,1,failed,worker-large,container_failed,1777309167,1777309167,1777309170
baseline,RR,RR,bursty,task-1777309163314792000,completed,att-task-1777309163314792000-1,1,0,,att-task-1777309163314792000-1,1,completed,worker-medium,,1777309167,1777309167,1777309170
baseline,RR,RR,bursty,task-1777309163317642000,completed,att-task-1777309163317642000-1,1,0,,att-task-1777309163317642000-1,1,completed,worker-large,,1777309167,1777309167,1777309171
baseline,RTS,RTS,bursty,task-1777309175497832000,completed,att-task-1777309175497832000-1,1,0,,att-task-1777309175497832000-1,1,completed,worker-large,,1777309177,1777309177,1777309181
baseline,RTS,RTS,bursty,task-1777309175500548000,completed,att-task-1777309175500548000-1,1,0,,att-task-1777309175500548000-1,1,completed,worker-large,,1777309177,1777309177,1777309181
baseline,RTS,RTS,bursty,task-1777309175502717000,failed,att-task-1777309175502717000-1,1,0,,att-task-1777309175502717000-1,1,failed,worker-large,container_failed,1777309177,1777309177,1777309181
baseline,RTS,RTS,bursty,task-1777309175504901000,completed,att-task-1777309175504901000-1,1,0,,att-task-1777309175504901000-1,1,completed,worker-medium,,1777309177,1777309177,1777309181
baseline,RTS,RTS,bursty,task-1777309179514450000,completed,att-task-1777309179514450000-1,1,0,,att-task-1777309179514450000-1,1,completed,worker-large,,1777309182,1777309182,1777309185
baseline,RTS,RTS,bursty,task-1777309179519223000,completed,att-task-1777309179519223000-1,1,0,,att-task-1777309179519223000-1,1,completed,worker-large,,1777309182,1777309182,1777309186
baseline,RTS,RTS,bursty,task-1777309179524432000,completed,att-task-1777309179524432000-1,1,0,,att-task-1777309179524432000-1,1,completed,worker-large,,1777309182,1777309182,1777309185
baseline,RTS,RTS,bursty,task-1777309183532303000,failed,att-task-1777309183532303000-1,1,0,,att-task-1777309183532303000-1,1,failed,worker-large,container_failed,1777309187,1777309187,1777309190
baseline,RTS,RTS,bursty,task-1777309183538320000,completed,att-task-1777309183538320000-1,1,0,,att-task-1777309183538320000-1,1,completed,worker-large,,1777309187,1777309187,1777309191
baseline,RTS,RTS,bursty,task-1777309183542150000,completed,att-task-1777309183542150000-1,1,0,,att-task-1777309183542150000-1,1,completed,worker-medium,,1777309187,1777309187,1777309191
baseline,PPO,PPO,bursty,task-1777309195749364000,completed,att-task-1777309195749364000-1,1,0,,att-task-1777309195749364000-1,1,completed,worker-large,,1777309197,1777309197,1777309201
baseline,PPO,PPO,bursty,task-1777309195755542000,completed,att-task-1777309195755542000-1,1,0,,att-task-1777309195755542000-1,1,completed,worker-large,,1777309197,1777309197,1777309201
baseline,PPO,PPO,bursty,task-1777309195760781000,failed,att-task-1777309195760781000-1,1,0,,att-task-1777309195760781000-1,1,failed,worker-large,container_failed,1777309197,1777309197,1777309201
baseline,PPO,PPO,bursty,task-1777309195765162000,completed,att-task-1777309195765162000-1,1,0,,att-task-1777309195765162000-1,1,completed,worker-medium,,1777309197,1777309197,1777309201
baseline,PPO,PPO,bursty,task-1777309199774440000,completed,att-task-1777309199774440000-1,1,0,,att-task-1777309199774440000-1,1,completed,worker-large,,1777309202,1777309202,1777309206
