scenario,scheduler,scheduler_algorithm,workload,task_id,task_status,current_attempt_id,current_attempt_no,recovery_count,last_failure_reason,attempt_id,attempt_no,attempt_status,attempt_worker_id,attempt_failure_reason,assigned_at,last_heartbeat,completed_at
baseline,RR,RR,heterogeneous-smoke,task-1777308686917162000,completed,att-task-1777308686917162000-1,1,0,,att-task-1777308686917162000-1,1,completed,worker-large,,1777308688,0,1777308692
baseline,RR,RR,heterogeneous-smoke,task-1777308686920592000,completed,att-task-1777308686920592000-1,1,0,,att-task-1777308686920592000-1,1,completed,worker-medium,,1777308688,0,1777308692
baseline,RR,RR,heterogeneous-smoke,task-1777308686923447000,completed,att-task-1777308686923447000-1,1,0,,att-task-1777308686923447000-1,1,completed,worker-small,,1777308688,0,1777308692
baseline,RR,RR,heterogeneous-smoke,task-1777308686926455000,completed,att-task-1777308686926455000-1,1,0,,att-task-1777308686926455000-1,1,completed,worker-large,,1777308688,0,1777308692
baseline,RR,RR,heterogeneous-smoke,task-1777308686929295000,completed,att-task-1777308686929295000-1,1,0,,att-task-1777308686929295000-1,1,completed,worker-medium,,1777308688,0,1777308692
baseline,RR,RR,heterogeneous-smoke,task-1777308686932049000,completed,att-task-1777308686932049000-1,1,0,,att-task-1777308686932049000-1,1,completed,worker-large,,1777308693,0,1777308697
baseline,RR,RR,heterogeneous-smoke,task-1777308686933694000,completed,att-task-1777308686933694000-1,1,0,,att-task-1777308686933694000-1,1,completed,worker-large,,1777308688,0,1777308692
baseline,RR,RR,heterogeneous-smoke,task-1777308686935831000,completed,att-task-1777308686935831000-1,1,0,,att-task-1777308686935831000-1,1,completed,worker-medium,,1777308693,0,1777308697
baseline,RR,RR,heterogeneous-smoke,task-1777308686938311000,completed,att-task-1777308686938311000-1,1,0,,att-task-1777308686938311000-1,1,completed,worker-medium,,1777308688,0,1777308692
baseline,RR,RR,heterogeneous-smoke,task-1777308686939970000,completed,att-task-1777308686939970000-1,1,0,,att-task-1777308686939970000-1,1,completed,worker-large,,1777308698,0,1777308703
baseline,RTS,RTS,heterogeneous-smoke,task-1777308708158576000,completed,att-task-1777308708158576000-1,1,0,,att-task-1777308708158576000-1,1,completed,worker-medium,,1777308708,0,1777308712
baseline,RTS,RTS,heterogeneous-smoke,task-1777308708160798000,completed,att-task-1777308708160798000-1,1,0,,att-task-1777308708160798000-1,1,completed,worker-medium,,1777308708,0,1777308712
baseline,RTS,RTS,heterogeneous-smoke,task-1777308708163429000,completed,att-task-1777308708163429000-1,1,0,,att-task-1777308708163429000-1,1,completed,worker-large,,1777308708,0,1777308712
baseline,RTS,RTS,heterogeneous-smoke,task-1777308708165571000,completed,att-task-1777308708165571000-1,1,0,,att-task-1777308708165571000-1,1,completed,worker-large,,1777308708,0,1777308712
baseline,RTS,RTS,heterogeneous-smoke,task-1777308708167094000,completed,att-task-1777308708167094000-1,1,0,,att-task-1777308708167094000-1,1,completed,worker-medium,,1777308708,0,1777308712
baseline,RTS,RTS,heterogeneous-smoke,task-1777308708168848000,completed,att-task-1777308708168848000-1,1,0,,att-task-1777308708168848000-1,1,completed,worker-large,,1777308713,0,1777308717
baseline,RTS,RTS,heterogeneous-smoke,task-1777308708171289000,completed,att-task-1777308708171289000-1,1,0,,att-task-1777308708171289000-1,1,completed,worker-large,,1777308708,0,1777308712
baseline,RTS,RTS,heterogeneous-smoke,task-1777308708173531000,completed,att-task-1777308708173531000-1,1,0,,att-task-1777308708173531000-1,1,completed,worker-medium,,1777308713,0,1777308717
baseline,RTS,RTS,heterogeneous-smoke,task-1777308708176208000,completed,att-task-1777308708176208000-1,1,0,,att-task-1777308708176208000-1,1,completed,worker-small,,1777308708,0,1777308712
baseline,RTS,RTS,heterogeneous-smoke,task-1777308708178444000,completed,att-task-1777308708178444000-1,1,0,,att-task-1777308708178444000-1,1,completed,worker-large,,1777308718,0,1777308723
baseline,PPO,PPO,heterogeneous-smoke,task-1777308729419224000,completed,att-task-1777308729419224000-1,1,0,,att-task-1777308729419224000-1,1,completed,worker-large,,1777308733,0,1777308737
baseline,PPO,PPO,heterogeneous-smoke,task-1777308729425453000,completed,att-task-1777308729425453000-1,1,0,,att-task-1777308729425453000-1,1,completed,worker-large,,1777308733,0,1777308737
baseline,PPO,PPO,heterogeneous-smoke,task-1777308729429744000,completed,att-task-1777308729429744000-1,1,0,,att-task-1777308729429744000-1,1,completed,worker-large,,1777308733,0,1777308737
baseline,PPO,PPO,heterogeneous-smoke,task-1777308729434691000,completed,att-task-1777308729434691000-1,1,0,,att-task-1777308729434691000-1,1,completed,worker-medium,,1777308733,0,1777308737
baseline,PPO,PPO,heterogeneous-smoke,task-1777308729438226000,completed,att-task-1777308729438226000-1,1,0,,att-task-1777308729438226000-1,1,completed,worker-large,,1777308733,0,1777308737
baseline,PPO,PPO,heterogeneous-smoke,task-1777308729441562000,completed,att-task-1777308729441562000-1,1,0,,att-task-1777308729441562000-1,1,completed,worker-large,,1777308738,0,1777308742
baseline,PPO,PPO,heterogeneous-smoke,task-1777308729444502000,completed,att-task-1777308729444502000-1,1,0,,att-task-1777308729444502000-1,1,completed,worker-medium,,1777308734,0,1777308737
baseline,PPO,PPO,heterogeneous-smoke,task-1777308729446662000,completed,att-task-1777308729446662000-1,1,0,,att-task-1777308729446662000-1,1,completed,worker-medium,,1777308738,0,1777308742
baseline,PPO,PPO,heterogeneous-smoke,task-1777308729449532000,completed,att-task-1777308729449532000-1,1,0,,att-task-1777308729449532000-1,1,completed,worker-small,,1777308734,0,1777308737
baseline,PPO,PPO,heterogeneous-smoke,task-1777308729451937000,completed,att-task-1777308729451937000-1,1,0,,att-task-1777308729451937000-1,1,completed,worker-large,,1777308743,0,1777308747
burst,RR,RR,heterogeneous-smoke,task-1777308750727588000,completed,att-task-1777308750727588000-1,1,0,,att-task-1777308750727588000-1,1,completed,worker-large,,1777308753,0,1777308757
burst,RR,RR,heterogeneous-smoke,task-1777308750732576000,completed,att-task-1777308750732576000-1,1,0,,att-task-1777308750732576000-1,1,completed,worker-medium,,1777308753,0,1777308757
burst,RR,RR,heterogeneous-smoke,task-1777308750736356000,completed,att-task-1777308750736356000-1,1,0,,att-task-1777308750736356000-1,1,completed,worker-small,,1777308753,0,1777308756
burst,RR,RR,heterogeneous-smoke,task-1777308750741325000,completed,att-task-1777308750741325000-1,1,0,,att-task-1777308750741325000-1,1,completed,worker-large,,1777308753,0,1777308757
burst,RR,RR,heterogeneous-smoke,task-1777308750744953000,completed,att-task-1777308750744953000-1,1,0,,att-task-1777308750744953000-1,1,completed,worker-medium,,1777308753,0,1777308757
burst,RR,RR,heterogeneous-smoke,task-1777308750747802000,completed,att-task-1777308750747802000-1,1,0,,att-task-1777308750747802000-1,1,completed,worker-large,,1777308758,0,1777308763
burst,RR,RR,heterogeneous-smoke,task-1777308750750308000,completed,att-task-1777308750750308000-1,1,0,,att-task-1777308750750308000-1,1,completed,worker-large,,1777308753,0,1777308757
burst,RR,RR,heterogeneous-smoke,task-1777308750753286000,completed,att-task-1777308750753286000-1,1,0,,att-task-1777308750753286000-1,1,completed,worker-medium,,1777308758,0,1777308762
burst,RR,RR,heterogeneous-smoke,task-1777308750756377000,completed,att-task-1777308750756377000-1,1,0,,att-task-1777308750756377000-1,1,completed,worker-medium,,1777308753,0,1777308757
burst,RR,RR,heterogeneous-smoke,task-1777308750758915000,completed,att-task-1777308750758915000-1,1,0,,att-task-1777308750758915000-1,1,completed,worker-large,,1777308763,1777308768,1777308770
burst,RTS,RTS,heterogeneous-smoke,task-1777308775049955000,completed,att-task-1777308775049955000-1,1,0,,att-task-1777308775049955000-1,1,completed,worker-large,,1777308778,0,1777308782
burst,RTS,RTS,heterogeneous-smoke,task-1777308775054576000,completed,att-task-1777308775054576000-1,1,0,,att-task-1777308775054576000-1,1,completed,worker-large,,1777308778,0,1777308783
burst,RTS,RTS,heterogeneous-smoke,task-1777308775058602000,completed,att-task-1777308775058602000-1,1,0,,att-task-1777308775058602000-1,1,completed,worker-large,,1777308778,0,1777308782
burst,RTS,RTS,heterogeneous-smoke,task-1777308775062175000,completed,att-task-1777308775062175000-1,1,0,,att-task-1777308775062175000-1,1,completed,worker-medium,,1777308778,0,1777308783
burst,RTS,RTS,heterogeneous-smoke,task-1777308775065636000,completed,att-task-1777308775065636000-1,1,0,,att-task-1777308775065636000-1,1,completed,worker-large,,1777308778,0,1777308783
burst,RTS,RTS,heterogeneous-smoke,task-1777308775068641000,completed,att-task-1777308775068641000-1,1,0,,att-task-1777308775068641000-1,1,completed,worker-medium,,1777308783,0,1777308788
burst,RTS,RTS,heterogeneous-smoke,task-1777308775071872000,completed,att-task-1777308775071872000-1,1,0,,att-task-1777308775071872000-1,1,completed,worker-small,,1777308778,0,1777308783
burst,RTS,RTS,heterogeneous-smoke,task-1777308775074648000,completed,att-task-1777308775074648000-1,1,0,,att-task-1777308775074648000-1,1,completed,worker-large,,1777308783,0,1777308787
burst,RTS,RTS,heterogeneous-smoke,task-1777308775079485000,completed,att-task-1777308775079485000-1,1,0,,att-task-1777308775079485000-1,1,completed,worker-medium,,1777308778,0,1777308782
burst,RTS,RTS,heterogeneous-smoke,task-1777308775083965000,completed,att-task-1777308775083965000-1,1,0,,att-task-1777308775083965000-1,1,completed,worker-large,,1777308788,0,1777308792
burst,PPO,PPO,heterogeneous-smoke,task-1777308796365829000,completed,att-task-1777308796365829000-1,1,0,,att-task-1777308796365829000-1,1,completed,worker-large,,1777308798,0,1777308802
burst,PPO,PPO,heterogeneous-smoke,task-1777308796370514000,completed,att-task-1777308796370514000-1,1,0,,att-task-1777308796370514000-1,1,completed,worker-large,,1777308798,0,1777308803
burst,PPO,PPO,heterogeneous-smoke,task-1777308796373728000,completed,att-task-1777308796373728000-1,1,0,,att-task-1777308796373728000-1,1,completed,worker-large,,1777308798,0,1777308802
burst,PPO,PPO,heterogeneous-smoke,task-1777308796377066000,completed,att-task-1777308796377066000-1,1,0,,att-task-1777308796377066000-1,1,completed,worker-medium,,1777308798,0,1777308802
burst,PPO,PPO,heterogeneous-smoke,task-1777308796380309000,completed,att-task-1777308796380309000-1,1,0,,att-task-1777308796380309000-1,1,completed,worker-large,,1777308798,0,1777308803
