metric,labels,value
max_queue_depth,"{""instance"": ""host.docker.internal:8080"", ""job"": ""master""}",10
task_dequeues,"{""outcome"": ""assigned""}",88.45714285714286
task_terminals,"{""status"": ""completed"", ""task_type"": ""mixed""}",29.852941176470587
task_terminals,"{""status"": ""failed"", ""task_type"": ""memory-heavy""}",58.67647058823529
worker_container_cpu_seconds,"{""task_type"": ""other""}",0
worker_container_io_bytes,"{""task_type"": ""other""}",0
worker_container_memory_peak_p95,"{""task_type"": ""other""}",15938355.2
p95_scheduling_latency,"{""scheduler"": ""Round-Robin""}",0.022833333333333334
p95_scheduling_latency,"{""scheduler"": ""RTS""}",0.0235
p95_scheduling_latency,"{""scheduler"": ""PPO""}",0.02411363636363636
p95_queue_wait,"{""scheduler"": ""Round-Robin"", ""task_type"": ""memory-heavy""}",10
p95_queue_wait,"{""scheduler"": ""Round-Robin"", ""task_type"": ""mixed""}",9.4375
p95_queue_wait,"{""scheduler"": ""RTS"", ""task_type"": ""memory-heavy""}",10
p95_queue_wait,"{""scheduler"": ""RTS"", ""task_type"": ""mixed""}",9.678571428571429
p95_queue_wait,"{""scheduler"": ""PPO"", ""task_type"": ""memory-heavy""}",10
p95_queue_wait,"{""scheduler"": ""PPO"", ""task_type"": ""mixed""}",7.999999999999997
