scenario,scheduler,scheduler_algorithm,workload,task_id,task_status,current_attempt_id,current_attempt_no,recovery_count,last_failure_reason,attempt_id,attempt_no,attempt_status,attempt_worker_id,attempt_failure_reason,assigned_at,last_heartbeat,completed_at
baseline,RR,RR,memory-pressure,task-1777309378923920000,failed,att-task-1777309378923920000-1,1,0,,att-task-1777309378923920000-1,1,failed,worker-large,container_failed,1777309383,0,1777309387
baseline,RR,RR,memory-pressure,task-1777309379433763000,failed,att-task-1777309379433763000-1,1,0,,att-task-1777309379433763000-1,1,failed,worker-medium,container_failed,1777309383,0,1777309387
baseline,RR,RR,memory-pressure,task-1777309379945840000,completed,att-task-1777309379945840000-1,1,0,,att-task-1777309379945840000-1,1,completed,worker-small,,1777309383,0,1777309387
baseline,RR,RR,memory-pressure,task-1777309380457132000,failed,att-task-1777309380457132000-1,1,0,,att-task-1777309380457132000-1,1,failed,worker-large,container_failed,1777309383,0,1777309387
baseline,RR,RR,memory-pressure,task-1777309380964636000,completed,att-task-1777309380964636000-1,1,0,,att-task-1777309380964636000-1,1,completed,worker-medium,,1777309388,0,1777309392
baseline,RR,RR,memory-pressure,task-1777309381474817000,failed,att-task-1777309381474817000-1,1,0,,att-task-1777309381474817000-1,1,failed,worker-large,container_failed,1777309388,0,1777309391
baseline,RTS,RTS,memory-pressure,task-1777309396687770000,failed,att-task-1777309396687770000-1,1,0,,att-task-1777309396687770000-1,1,failed,worker-large,container_failed,1777309398,1777309402,1777309402
baseline,RTS,RTS,memory-pressure,task-1777309397200629000,failed,att-task-1777309397200629000-1,1,0,,att-task-1777309397200629000-1,1,failed,worker-large,container_failed,1777309398,1777309402,1777309402
baseline,RTS,RTS,memory-pressure,task-1777309397715431000,completed,att-task-1777309397715431000-1,1,0,,att-task-1777309397715431000-1,1,completed,worker-small,,1777309398,1777309402,1777309403
baseline,RTS,RTS,memory-pressure,task-1777309398223573000,failed,att-task-1777309398223573000-1,1,0,,att-task-1777309398223573000-1,1,failed,worker-medium,container_failed,1777309398,1777309402,1777309402
baseline,RTS,RTS,memory-pressure,task-1777309398733229000,completed,att-task-1777309398733229000-1,1,0,,att-task-1777309398733229000-1,1,completed,worker-large,,1777309403,0,1777309407
baseline,RTS,RTS,memory-pressure,task-1777309399240047000,failed,att-task-1777309399240047000-1,1,0,,att-task-1777309399240047000-1,1,failed,worker-large,container_failed,1777309403,0,1777309407
baseline,PPO,PPO,memory-pressure,task-1777309411443549000,failed,att-task-1777309411443549000-1,1,0,,att-task-1777309411443549000-1,1,failed,worker-large,container_failed,1777309413,0,1777309417
baseline,PPO,PPO,memory-pressure,task-1777309411950979000,failed,att-task-1777309411950979000-1,1,0,,att-task-1777309411950979000-1,1,failed,worker-large,container_failed,1777309413,0,1777309417
baseline,PPO,PPO,memory-pressure,task-1777309412457468000,completed,att-task-1777309412457468000-1,1,0,,att-task-1777309412457468000-1,1,completed,worker-medium,,1777309413,0,1777309417
baseline,PPO,PPO,memory-pressure,task-1777309412969498000,failed,att-task-1777309412969498000-1,1,0,,att-task-1777309412969498000-1,1,failed,worker-large,container_failed,1777309418,0,1777309422
baseline,PPO,PPO,memory-pressure,task-1777309413477791000,completed,att-task-1777309413477791000-1,1,0,,att-task-1777309413477791000-1,1,completed,worker-medium,,1777309413,0,1777309417
