scenario,scheduler,scheduler_algorithm,workload,task_id,task_status,current_attempt_id,current_attempt_no,recovery_count,last_failure_reason,attempt_id,attempt_no,attempt_status,attempt_worker_id,attempt_failure_reason,assigned_at,last_heartbeat,completed_at
baseline,RR,RR,steady-cpu,task-1777308936499700000,completed,att-task-1777308936499700000-1,1,0,,att-task-1777308936499700000-1,1,completed,worker-large,,1777308938,1777308938,1777308942
baseline,RR,RR,steady-cpu,task-1777308937510029000,completed,att-task-1777308937510029000-1,1,0,,att-task-1777308937510029000-1,1,completed,worker-medium,,1777308938,1777308938,1777308942
baseline,RR,RR,steady-cpu,task-1777308938517839000,completed,att-task-1777308938517839000-1,1,0,,att-task-1777308938517839000-1,1,completed,worker-small,,1777308943,1777308943,1777308946
baseline,RR,RR,steady-cpu,task-1777308939527443000,completed,att-task-1777308939527443000-1,1,0,,att-task-1777308939527443000-1,1,completed,worker-large,,1777308943,1777308943,1777308946
baseline,RR,RR,steady-cpu,task-1777308940537430000,completed,att-task-1777308940537430000-1,1,0,,att-task-1777308940537430000-1,1,completed,worker-medium,,1777308943,1777308943,1777308946
baseline,RR,RR,steady-cpu,task-1777308941544702000,completed,att-task-1777308941544702000-1,1,0,,att-task-1777308941544702000-1,1,completed,worker-large,,1777308943,1777308943,1777308946
baseline,RR,RR,steady-cpu,task-1777308942552549000,completed,att-task-1777308942552549000-1,1,0,,att-task-1777308942552549000-1,1,completed,worker-medium,,1777308943,1777308943,1777308946
baseline,RR,RR,steady-cpu,task-1777308943560868000,completed,att-task-1777308943560868000-1,1,0,,att-task-1777308943560868000-1,1,completed,worker-large,,1777308948,1777308948,1777308952
baseline,RTS,RTS,steady-cpu,task-1777308955717588000,completed,att-task-1777308955717588000-1,1,0,,att-task-1777308955717588000-1,1,completed,worker-small,,1777308958,1777308958,1777308962
baseline,RTS,RTS,steady-cpu,task-1777308956723513000,completed,att-task-1777308956723513000-1,1,0,,att-task-1777308956723513000-1,1,completed,worker-large,,1777308958,1777308958,1777308962
baseline,RTS,RTS,steady-cpu,task-1777308957734154000,completed,att-task-1777308957734154000-1,1,0,,att-task-1777308957734154000-1,1,completed,worker-small,,1777308958,1777308958,1777308962
baseline,RTS,RTS,steady-cpu,task-1777308958748103000,completed,att-task-1777308958748103000-1,1,0,,att-task-1777308958748103000-1,1,completed,worker-large,,1777308963,1777308963,1777308967
baseline,RTS,RTS,steady-cpu,task-1777308959759502000,completed,att-task-1777308959759502000-1,1,0,,att-task-1777308959759502000-1,1,completed,worker-large,,1777308963,1777308963,1777308967
baseline,RTS,RTS,steady-cpu,task-1777308960767159000,completed,att-task-1777308960767159000-1,1,0,,att-task-1777308960767159000-1,1,completed,worker-medium,,1777308963,1777308963,1777308967
baseline,RTS,RTS,steady-cpu,task-1777308961771889000,completed,att-task-1777308961771889000-1,1,0,,att-task-1777308961771889000-1,1,completed,worker-small,,1777308963,1777308963,1777308967
baseline,RTS,RTS,steady-cpu,task-1777308962778775000,completed,att-task-1777308962778775000-1,1,0,,att-task-1777308962778775000-1,1,completed,worker-large,,1777308968,1777308968,1777308973
