metric,labels,value
max_queue_depth,"{""instance"": ""host.docker.internal:8080"", ""job"": ""master""}",60
task_dequeues,"{""outcome"": ""assigned""}",449.06168036462566
task_terminals,"{""status"": ""completed"", ""task_type"": ""cpu-heavy""}",120.6283069151026
task_terminals,"{""status"": ""completed"", ""task_type"": ""cpu-light""}",118.60094041232776
task_terminals,"{""status"": ""completed"", ""task_type"": ""memory-heavy""}",104.40937489290393
task_terminals,"{""status"": ""completed"", ""task_type"": ""mixed""}",105.42305814429135
worker_container_cpu_seconds,"{""task_type"": ""other""}",0
worker_container_io_bytes,"{""task_type"": ""other""}",0
worker_container_memory_peak_p95,"{""task_type"": ""other""}",15938355.2
p95_scheduling_latency,"{""scheduler"": ""RTS""}",0.022652173913043475
p95_scheduling_latency,"{""scheduler"": ""Round-Robin""}",0.02225
p95_scheduling_latency,"{""scheduler"": ""PPO""}",0.023297619047619046
p95_queue_wait,"{""scheduler"": ""Round-Robin"", ""task_type"": ""mixed""}",10
p95_queue_wait,"{""scheduler"": ""PPO"", ""task_type"": ""cpu-heavy""}",10
p95_queue_wait,"{""scheduler"": ""PPO"", ""task_type"": ""cpu-light""}",10
p95_queue_wait,"{""scheduler"": ""RTS"", ""task_type"": ""memory-heavy""}",10
p95_queue_wait,"{""scheduler"": ""Round-Robin"", ""task_type"": ""cpu-heavy""}",10
p95_queue_wait,"{""scheduler"": ""Round-Robin"", ""task_type"": ""cpu-light""}",10
p95_queue_wait,"{""scheduler"": ""Round-Robin"", ""task_type"": ""memory-heavy""}",10
p95_queue_wait,"{""scheduler"": ""PPO"", ""task_type"": ""memory-heavy""}",10
p95_queue_wait,"{""scheduler"": ""PPO"", ""task_type"": ""mixed""}",10
p95_queue_wait,"{""scheduler"": ""RTS"", ""task_type"": ""cpu-heavy""}",10
p95_queue_wait,"{""scheduler"": ""RTS"", ""task_type"": ""cpu-light""}",10
p95_queue_wait,"{""scheduler"": ""RTS"", ""task_type"": ""mixed""}",10
