scenario,scheduler,scheduler_algorithm,workload,task_id,task_status,current_attempt_id,current_attempt_no,recovery_count,last_failure_reason,attempt_id,attempt_no,attempt_status,attempt_worker_id,attempt_failure_reason,assigned_at,last_heartbeat,completed_at
baseline,RR,RR,heterogeneous-smoke,task-1777727837124029000,completed,att-task-1777727837124029000-1,1,0,,att-task-1777727837124029000-1,1,completed,worker-large,,1777727837,1777727841,1777727842
baseline,RR,RR,heterogeneous-smoke,task-1777727837125189000,completed,att-task-1777727837125189000-1,1,0,,att-task-1777727837125189000-1,1,completed,worker-medium,,1777727837,1777727841,1777727842
baseline,RR,RR,heterogeneous-smoke,task-1777727837126492000,completed,att-task-1777727837126492000-1,1,0,,att-task-1777727837126492000-1,1,completed,worker-small,,1777727837,1777727841,1777727842
baseline,RR,RR,heterogeneous-smoke,task-1777727837127530000,completed,att-task-1777727837127530000-1,1,0,,att-task-1777727837127530000-1,1,completed,worker-large,,1777727837,1777727841,1777727842
baseline,RR,RR,heterogeneous-smoke,task-1777727837128467000,completed,att-task-1777727837128467000-1,1,0,,att-task-1777727837128467000-1,1,completed,worker-medium,,1777727837,1777727841,1777727842
baseline,RR,RR,heterogeneous-smoke,task-1777727837129413000,completed,att-task-1777727837129413000-1,1,0,,att-task-1777727837129413000-1,1,completed,worker-large,,1777727842,0,1777727846
baseline,RR,RR,heterogeneous-smoke,task-1777727837130447000,completed,att-task-1777727837130447000-1,1,0,,att-task-1777727837130447000-1,1,completed,worker-large,,1777727837,1777727841,1777727842
baseline,RR,RR,heterogeneous-smoke,task-1777727837131400000,completed,att-task-1777727837131400000-1,1,0,,att-task-1777727837131400000-1,1,completed,worker-medium,,1777727842,0,1777727846
baseline,RR,RR,heterogeneous-smoke,task-1777727837132409000,completed,att-task-1777727837132409000-1,1,0,,att-task-1777727837132409000-1,1,completed,worker-medium,,1777727837,1777727841,1777727842
baseline,RR,RR,heterogeneous-smoke,task-1777727837133356000,completed,att-task-1777727837133356000-1,1,0,,att-task-1777727837133356000-1,1,completed,worker-large,,1777727847,0,1777727851
baseline,RR,RR,deterministic-full,task-1777727855335669000,completed,att-task-1777727855335669000-1,1,0,,att-task-1777727855335669000-1,1,completed,worker-large,,1777727857,0,1777727861
baseline,RR,RR,deterministic-full,task-1777727855341779000,completed,att-task-1777727855341779000-1,1,0,,att-task-1777727855341779000-1,1,completed,worker-medium,,1777727857,0,1777727861
baseline,RR,RR,deterministic-full,task-1777727855346879000,completed,att-task-1777727855346879000-1,1,0,,att-task-1777727855346879000-1,1,completed,worker-small,,1777727857,0,1777727861
baseline,RR,RR,deterministic-full,task-1777727855351029000,completed,att-task-1777727855351029000-1,1,0,,att-task-1777727855351029000-1,1,completed,worker-large,,1777727857,0,1777727861
baseline,RR,RR,deterministic-full,task-1777727855355142000,completed,att-task-1777727855355142000-1,1,0,,att-task-1777727855355142000-1,1,completed,worker-medium,,1777727857,0,1777727861
