2026/04/09 23:14:55 ═══════════════════════════════════════════════════════
2026/04/09 23:14:55   CloudAI Worker Node - Starting...
2026/04/09 23:14:55 ═══════════════════════════════════════════════════════
2026/04/09 23:14:55 ⚠️  Using user directory (no /var/cloudai access): /Users/codesmith28/.cloudai/outputs
2026/04/09 23:14:55 
2026/04/09 23:14:55 ═══════════════════════════════════════════════════════
2026/04/09 23:14:55   Worker Details (use these to register with master):
2026/04/09 23:14:55 ═══════════════════════════════════════════════════════
2026/04/09 23:14:55   Hostname:       Thea
2026/04/09 23:14:55   Worker ID:      ppo-worker-1
2026/04/09 23:14:55   Bind Address:   127.0.0.1:61152
2026/04/09 23:14:55   Reachable Addr: 10.63.86.229:61152
2026/04/09 23:14:55   Metrics Port:   21111
2026/04/09 23:14:55 ═══════════════════════════════════════════════════════
2026/04/09 23:14:55 
2026/04/09 23:14:55 To register this worker, run in master CLI:
2026/04/09 23:14:55   master> register ppo-worker-1 10.63.86.229:61152
2026/04/09 23:14:55 
2026/04/09 23:14:55 ═══════════════════════════════════════════════════════
2026/04/09 23:14:55 Starting telemetry monitor (interval: 5s)
2026/04/09 23:14:55 ✓ Metrics server listening on 127.0.0.1:21111
2026/04/09 23:14:55 ✓ Worker ppo-worker-1 started successfully
2026/04/09 23:14:55 ✓ gRPC server listening on 127.0.0.1:61152
2026/04/09 23:14:55 ✓ Ready to receive master registration...
2026/04/09 23:14:55 ✓ Waiting for tasks...
2026/04/09 23:16:16 Master registration request from: master-1 (10.63.86.229:61051)
2026/04/09 23:16:16 Updated master address to: 10.63.86.229:61051
2026/04/09 23:16:16 Registering worker ppo-worker-1 with master at 10.63.86.229:61051
2026/04/09 23:16:16 Detected System Resources:
2026/04/09 23:16:16   CPU:     12.00 cores
2026/04/09 23:16:16   Memory:  24.00 GB
2026/04/09 23:16:16   Storage: 460.43 GB
2026/04/09 23:16:16 ✓ Successfully registered with master: Worker registered successfully
2026/04/09 23:16:21 Heartbeat sent: CPU=8.6%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:16:26 Heartbeat sent: CPU=15.1%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:16:31 Heartbeat sent: CPU=13.3%, Memory=69.0%, Storage=75.4%, Tasks=0
2026/04/09 23:16:36 Heartbeat sent: CPU=12.1%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:16:41 Heartbeat sent: CPU=9.3%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:16:46 Heartbeat sent: CPU=16.6%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:16:51 Heartbeat sent: CPU=9.1%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:16:56 Heartbeat sent: CPU=12.1%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:17:01 Heartbeat sent: CPU=9.0%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:17:06 Heartbeat sent: CPU=9.6%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:17:11 Heartbeat sent: CPU=9.2%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:17:16 Heartbeat sent: CPU=11.2%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:17:21 Heartbeat sent: CPU=9.9%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:17:26 Heartbeat sent: CPU=11.6%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:17:31 Heartbeat sent: CPU=9.6%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:17:36 Heartbeat sent: CPU=11.2%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:17:41 Heartbeat sent: CPU=12.5%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:17:46 Heartbeat sent: CPU=9.5%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:17:51 Heartbeat sent: CPU=10.2%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:17:56 Heartbeat sent: CPU=9.8%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:18:01 Heartbeat sent: CPU=9.1%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:18:06 Heartbeat sent: CPU=11.5%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:18:11 Heartbeat sent: CPU=9.8%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:18:16 Heartbeat sent: CPU=10.8%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:18:21 Heartbeat sent: CPU=8.7%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:18:26 Heartbeat sent: CPU=9.7%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:18:31 Heartbeat sent: CPU=11.5%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:18:36 Heartbeat sent: CPU=9.4%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:18:41 Heartbeat sent: CPU=10.7%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:18:46 Heartbeat sent: CPU=12.5%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:18:51 Heartbeat sent: CPU=9.5%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:18:56 Heartbeat sent: CPU=9.5%, Memory=68.7%, Storage=75.4%, Tasks=0
2026/04/09 23:19:01 Heartbeat sent: CPU=10.8%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:19:06 Heartbeat sent: CPU=9.1%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:19:11 Heartbeat sent: CPU=9.1%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:19:16 Heartbeat sent: CPU=9.4%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:19:21 Heartbeat sent: CPU=7.8%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:19:26 Heartbeat sent: CPU=9.4%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:19:31 Heartbeat sent: CPU=8.9%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:19:36 Heartbeat sent: CPU=9.7%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:19:41 Heartbeat sent: CPU=9.3%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:19:46 Heartbeat sent: CPU=10.4%, Memory=68.9%, Storage=75.4%, Tasks=0
2026/04/09 23:19:51 Heartbeat sent: CPU=12.3%, Memory=68.8%, Storage=75.4%, Tasks=0
2026/04/09 23:19:56 Heartbeat sent: CPU=11.2%, Memory=68.8%, Storage=75.4%, Tasks=0
