scheduler,elapsed_s,tasks_completed
RR,6,1
RR,6,2
RR,6,3
RR,6,4
RR,6,5
RR,6,6
RR,8,7
RR,16,8
RR,17,9
RR,25,10
RR,26,11
RR,35,12
RR,37,13
RR,48,14
RR,51,15
RR,55,16
RR,55,17
RR,61,18
RR,61,19
RR,65,20
RTS,8,1
RTS,9,2
RTS,9,3
RTS,9,4
RTS,9,5
RTS,10,6
RTS,10,7
RTS,18,8
RTS,18,9
RTS,25,10
RTS,26,11
RTS,31,12
RTS,38,13
RTS,47,14
RTS,56,15
RTS,57,16
RTS,65,17
RTS,65,18
RTS,65,19
RTS,73,20
PPO,5,1
PPO,5,2
PPO,5,3
PPO,5,4
PPO,5,5
PPO,5,6
PPO,6,7
PPO,12,8
PPO,17,9
PPO,20,10
PPO,25,11
PPO,26,12
PPO,34,13
PPO,35,14
PPO,41,15
PPO,48,16
PPO,51,17
PPO,55,18
PPO,56,19
PPO,60,20
