scheduler,run,duration_s,turnaround_s,p95_turnaround_s,success_pct
RR,1,72.5,33.47,72.13,100.0
RR,2,77.53,33.25,67.87,100.0
RR,3,77.8,35.62,66.73,100.0
RR,4,72.72,32.7,66.75,100.0
RR,5,71.25,29.27,60.67,100.0
RTS,1,73.2,31.03,75.63,100.0
RTS,2,71.36,30.1,81.59,100.0
RTS,3,75.0,33.56,66.62,100.0
RTS,4,73.3,33.66,68.04,100.0
RTS,5,78.2,32.0,72.49,100.0
PPO,1,62.03,30.32,61.96,100.0
PPO,2,60.57,28.89,58.22,100.0
PPO,3,64.62,25.03,57.88,100.0
PPO,4,64.58,28.77,62.53,100.0
PPO,5,63.58,27.33,57.42,100.0
