scheduler,task_id,worker_id,assigned_at,completed_at,completion_time_s
RR,task-1777733360520750000,worker-large,1777733364,1777733370,6
RR,task-1777733360522661000,worker-large,1777733374,1777733380,6
RR,task-1777733360523676000,worker-large,1777733384,1777733390,6
RR,task-1777733360524601000,worker-large,1777733394,1777733401,7
RR,task-1777733360525606000,worker-large,1777733404,1777733412,8
RR,task-1777733360526552000,worker-medium,1777733364,1777733372,8
RR,task-1777733360527405000,worker-medium,1777733374,1777733381,7
RR,task-1777733360528294000,worker-medium,1777733384,1777733389,5
RR,task-1777733360529132000,worker-medium,1777733394,1777733399,5
RR,task-1777733360529981000,worker-medium,1777733399,1777733415,16
RR,task-1777733360530859000,worker-large,1777733414,1777733419,5
RR,task-1777733360531623000,worker-large,1777733414,1777733419,5
RR,task-1777733360532364000,worker-medium,1777733419,1777733425,6
RR,task-1777733360533146000,worker-large,1777733419,1777733425,6
RR,task-1777733360533907000,worker-large,1777733424,1777733429,5
RR,task-1777733360534781000,worker-small,1777733364,1777733370,6
RR,task-1777733360535748000,worker-large,1777733364,1777733370,6
RR,task-1777733360536633000,worker-medium,1777733364,1777733370,6
RR,task-1777733360537554000,worker-small,1777733364,1777733370,6
RR,task-1777733360538497000,worker-medium,1777733364,1777733370,6
RTS,task-1777733433672537000,worker-large,1777733434,1777733444,10
RTS,task-1777733433677014000,worker-large,1777733444,1777733452,8
RTS,task-1777733433680139000,worker-large,1777733454,1777733460,6
RTS,task-1777733433683241000,worker-large,1777733464,1777733472,8
RTS,task-1777733433686173000,worker-large,1777733474,1777733490,16
RTS,task-1777733433689537000,worker-medium,1777733434,1777733444,10
RTS,task-1777733433692511000,worker-medium,1777733444,1777733452,8
RTS,task-1777733433695709000,worker-medium,1777733454,1777733459,5
RTS,task-1777733433698424000,worker-medium,1777733459,1777733465,6
RTS,task-1777733433701561000,worker-medium,1777733469,1777733481,12
RTS,task-1777733433704638000,worker-medium,1777733484,1777733491,7
RTS,task-1777733433708085000,worker-large,1777733494,1777733499,5
RTS,task-1777733433711330000,worker-medium,1777733494,1777733499,5
RTS,task-1777733433714480000,worker-large,1777733494,1777733499,5
RTS,task-1777733433717121000,worker-medium,1777733499,1777733507,8
RTS,task-1777733433720119000,worker-medium,1777733434,1777733443,9
RTS,task-1777733433722859000,worker-medium,1777733434,1777733443,9
RTS,task-1777733433727066000,worker-small,1777733434,1777733443,9
RTS,task-1777733433730371000,worker-small,1777733434,1777733443,9
RTS,task-1777733433733818000,worker-large,1777733434,1777733442,8
PPO,task-1777733512944221000,worker-large,1777733514,1777733520,6
PPO,task-1777733512949180000,worker-large,1777733524,1777733531,7
PPO,task-1777733512953008000,worker-large,1777733534,1777733540,6
PPO,task-1777733512956044000,worker-large,1777733544,1777733549,5
PPO,task-1777733512959128000,worker-large,1777733554,1777733562,8
PPO,task-1777733512962467000,worker-medium,1777733514,1777733519,5
PPO,task-1777733512965540000,worker-medium,1777733519,1777733526,7
PPO,task-1777733512968390000,worker-medium,1777733529,1777733534,5
PPO,task-1777733512971838000,worker-medium,1777733534,1777733539,5
PPO,task-1777733512974463000,worker-medium,1777733539,1777733548,9
PPO,task-1777733512977331000,worker-medium,1777733549,1777733555,6
PPO,task-1777733512979746000,worker-medium,1777733559,1777733565,6
PPO,task-1777733512982507000,worker-large,1777733564,1777733569,5
PPO,task-1777733512985690000,worker-large,1777733564,1777733570,6
PPO,task-1777733512988851000,worker-large,1777733569,1777733574,5
PPO,task-1777733512991522000,worker-medium,1777733514,1777733519,5
PPO,task-1777733512993911000,worker-medium,1777733514,1777733519,5
PPO,task-1777733512996697000,worker-large,1777733514,1777733519,5
PPO,task-1777733512999107000,worker-small,1777733514,1777733519,5
PPO,task-1777733513001302000,worker-small,1777733514,1777733519,5
