update,env_steps,epoch,avg_reward,policy_loss,value_loss,entropy
1,16384,0.08,1.6343,0.07757,0.11617,0.65431
10,163840,0.82,1.6392,0.07129,0.09453,0.61261
20,327680,1.64,1.6212,0.06153,0.08328,0.57813
30,491520,2.46,1.6263,0.05705,0.07651,0.53269
40,655360,3.28,1.6205,0.0479,0.06294,0.51607
50,819200,4.1,1.6104,0.04186,0.05141,0.47077
60,983040,4.92,1.5921,0.0354,0.0474,0.46412
70,1146880,5.75,1.5734,0.0332,0.04138,0.43191
80,1310720,6.57,1.5632,0.02814,0.03308,0.41901
90,1474560,7.39,1.5791,0.0259,0.03303,0.36523
100,1638400,8.21,1.5713,0.02456,0.02301,0.36491
110,1802240,9.03,1.5347,0.02041,0.01124,0.34817
120,1966080,9.85,1.5841,0.01856,0.02215,0.32979
130,2129920,10.67,1.5602,0.01414,0.01174,0.32656
140,2293760,11.49,1.5657,0.01456,0.00952,0.30981
150,2457600,12.31,1.5615,0.01246,0.01372,0.28764
160,2621440,13.13,1.572,0.01017,0.00677,0.27009
170,2785280,13.95,1.581,0.01015,0.0081,0.2713
180,2949120,14.77,1.5903,0.00796,0.00031,0.2582
190,3112960,15.59,1.5945,0.00676,0.00185,0.25135
200,3276800,16.42,1.6012,0.00737,0.01183,0.24583
