task_id,req_cpu,req_memory,req_storage,duration_seconds,arrival_offset_sec,sla_multiplier,task_type
trace-001,0.5,0.25,1.0,3.5,0.0,2.0,cpu-light
trace-002,1.5,0.75,1.0,12.0,0.5,2.0,cpu-heavy
trace-003,0.8,1.8,2.0,8.5,1.2,2.0,memory-heavy
trace-004,1.2,1.2,1.5,6.0,1.8,2.0,mixed
trace-005,0.4,0.3,1.0,2.5,2.4,2.0,cpu-light
trace-006,2.0,1.0,2.0,18.0,3.0,2.0,cpu-heavy
trace-007,0.7,2.2,3.0,15.0,3.5,2.0,memory-heavy
trace-008,1.6,1.4,2.0,7.2,4.1,2.0,mixed
trace-009,0.3,0.2,1.0,3.0,4.8,2.0,cpu-light
trace-010,2.5,1.2,2.0,22.0,5.2,2.0,cpu-heavy
trace-011,0.6,2.5,2.5,14.0,5.9,2.0,memory-heavy
trace-012,1.0,1.0,1.0,5.0,6.5,2.0,mixed
trace-013,0.5,0.4,1.0,4.0,7.1,2.0,cpu-light
trace-014,1.8,0.8,1.5,16.5,7.8,2.0,cpu-heavy
trace-015,0.9,2.0,3.0,11.0,8.4,2.0,memory-heavy
trace-016,1.4,1.5,2.0,9.0,9.0,2.0,mixed
trace-017,0.4,0.3,1.0,2.8,9.5,2.0,cpu-light
trace-018,2.2,1.1,2.0,20.0,10.1,2.0,cpu-heavy
trace-019,0.8,1.9,2.0,13.5,10.8,2.0,memory-heavy
trace-020,1.5,1.2,1.5,6.5,11.4,2.0,mixed
trace-021,0.5,0.3,1.0,3.2,12.0,2.0,cpu-light
trace-022,2.4,1.0,2.0,19.0,12.6,2.0,cpu-heavy
trace-023,0.7,2.4,3.0,16.0,13.2,2.0,memory-heavy
trace-024,1.3,1.3,1.5,7.0,13.9,2.0,mixed
trace-025,0.4,0.25,1.0,3.0,14.5,2.0,cpu-light
trace-026,1.9,0.9,1.5,15.0,15.1,2.0,cpu-heavy
trace-027,0.8,2.1,2.5,12.5,15.8,2.0,memory-heavy
trace-028,1.5,1.4,2.0,8.0,16.4,2.0,mixed
trace-029,0.35,0.3,1.0,2.9,17.0,2.0,cpu-light
trace-030,2.1,1.1,2.0,17.5,17.6,2.0,cpu-heavy
trace-031,0.65,2.3,3.0,14.8,18.2,2.0,memory-heavy
trace-032,1.2,1.1,1.5,5.8,18.9,2.0,mixed
trace-033,0.45,0.35,1.0,3.8,19.5,2.0,cpu-light
trace-034,2.3,1.2,2.0,21.0,20.1,2.0,cpu-heavy
trace-035,0.75,2.0,2.5,13.0,20.8,2.0,memory-heavy
trace-036,1.4,1.3,2.0,7.5,21.4,2.0,mixed
trace-037,0.5,0.3,1.0,3.4,22.0,2.0,cpu-light
trace-038,1.7,0.85,1.5,14.0,22.7,2.0,cpu-heavy
trace-039,0.85,2.2,3.0,15.5,23.3,2.0,memory-heavy
trace-040,1.6,1.5,2.0,8.5,24.0,2.0,mixed
